num,name,url
1,St Mary's Episcopal Church,https://www.google.com/maps/dir/?api=1&destination=6850+Oak+St+Milton%2C+FL+32570
2,Pace Community Center (Ball Park),https://www.google.com/maps/dir/?api=1&destination=5976+Chumuckla+Hwy+Pace%2C+FL+32571
3,Jay Community Center,https://www.google.com/maps/dir/?api=1&destination=5259+Booker+Ln+Jay%2C+FL+32565
4,Jay Community Center,https://www.google.com/maps/dir/?api=1&destination=5259+Booker+Ln+Jay%2C+FL+32565
5,Munson-Blackwater Baptist Church,https://www.google.com/maps/dir/?api=1&destination=11689+Munson+HWY+Milton%2C+FL+32570
6,Munson-Blackwater Baptist Church,https://www.google.com/maps/dir/?api=1&destination=11689+Munson+HWY+Milton%2C+FL+32570
7,Munson-Blackwater Baptist Church,https://www.google.com/maps/dir/?api=1&destination=11689+Munson+HWY+Milton%2C+FL+32570
8,Milton City Hall,https://www.google.com/maps/dir/?api=1&destination=6738+Dixon+St+Milton%2C+FL+32570
9,East Milton Community Gym,https://www.google.com/maps/dir/?api=1&destination=8600+Bobby+Brown+Rd+Milton%2C+FL+32583
10,Harbor at Holley Assembly of God (Harbor Cafe),https://www.google.com/maps/dir/?api=1&destination=4020+HWY+87+Navarre%2C+FL+32566
11,Solid Rock Baptist Church,https://www.google.com/maps/dir/?api=1&destination=6760+East+Gate+Rd+Milton%2C+FL+32570
12,First Assembly of God Church,https://www.google.com/maps/dir/?api=1&destination=6163+Dogwood+St+Milton%2C+FL+32570
13,Allentown VFD,https://www.google.com/maps/dir/?api=1&destination=9482+HWY+89+Milton%2C+FL+32570
14,East Milton Community Gym,https://www.google.com/maps/dir/?api=1&destination=8600+Bobby+Brown+Rd+Milton%2C+FL+32583
15,Guy Thompson Community Center,https://www.google.com/maps/dir/?api=1&destination=5629+Byrom+St+Milton%2C+FL+32570
16,Bagdad-Bagdad Community Center,https://www.google.com/maps/dir/?api=1&destination=6860+Pooley+St+Milton%2C+FL+32583
17,Fidelis Community Center,https://www.google.com/maps/dir/?api=1&destination=13786+Highway+87+Jay%2C+FL+32565
18,Friendship Baptist Church,https://www.google.com/maps/dir/?api=1&destination=5300+Berryhill+Rd+Milton%2C+FL+32570
19,Chumuckla Community Center,https://www.google.com/maps/dir/?api=1&destination=2355+County+Road+182+Jay%2C+FL+23565
20,Immanuel Baptist Church,https://www.google.com/maps/dir/?api=1&destination=4187+Highway+90+Pace%2C+FL+32571
21,Christian Life Church,https://www.google.com/maps/dir/?api=1&destination=4401+Avalon+Blvd+Milton%2C+FL+32583
22,Gulf Breeze Community Center,https://www.google.com/maps/dir/?api=1&destination=800+Shoreline+Dr+Gulf+Breeze%2C+FL+32561
23,Midway Fire Dept,https://www.google.com/maps/dir/?api=1&destination=1801+Abercrombie+Rd+Gulf+Breeze%2C+FL+32563
24,County Auditorium,https://www.google.com/maps/dir/?api=1&destination=4530+Spike's+Way+Milton%2C+FL+32583
25,Coastline Calvary Chapel-Oriole Beach,https://www.google.com/maps/dir/?api=1&destination=1122+Oriole+Beach+Rd+Gulf+Breeze%2C+FL+23563
26,Navarre Community Gym,https://www.google.com/maps/dir/?api=1&destination=8840+High+School+Blvd+Navarre%2C+FL+32566
27,Woodbine Methodist Church,https://www.google.com/maps/dir/?api=1&destination=5200+Woodbine+Rd+Pace%2C+FL+32571
28,Community Life United Methodist Church,https://www.google.com/maps/dir/?api=1&destination=4115+Soundside+Dr+Gulf+Breeze%2C+FL+32563
29,Pullum Senior Citizens Center,https://www.google.com/maps/dir/?api=1&destination=8476+Gordon+Goodin+Ln+Navarre%2C+FL+32566
30,Pine Terrace Baptist Church,https://www.google.com/maps/dir/?api=1&destination=6212+Pine+Blossom+Rd.+Milton%2C+FL+32570
31,Immanuel Baptist Church,https://www.google.com/maps/dir/?api=1&destination=4187+Highway+90+Pace%2C+FL+32571
32,Coastline Calvary Chapel-Oriole Beach,https://www.google.com/maps/dir/?api=1&destination=1122+Oriole+Beach+Rd+Gulf+Breeze%2C+FL+23563
33,East Milton Community Gym,https://www.google.com/maps/dir/?api=1&destination=8600+Bobby+Brown+Rd+Milton%2C+FL+32583
34,St Sylvester's Catholic Church,https://www.google.com/maps/dir/?api=1&destination=6464+Gulf+Breeze+Pkwy+Rd+Gulf+Breeze%2C+FL+32563
35,Navarre United Methodist Church,https://www.google.com/maps/dir/?api=1&destination=9474+Navarre+Pkwy+Navarre%2C+FL+32566
36,Woodbine Methodist Church,https://www.google.com/maps/dir/?api=1&destination=5200+Woodbine+Rd+Pace%2C+FL+32571
37,Community Life United Methodist Church,https://www.google.com/maps/dir/?api=1&destination=4115+Soundside+Dr+Gulf+Breeze%2C+FL+32563
38,Navarre Community Gym,https://www.google.com/maps/dir/?api=1&destination=8840+High+School+Blvd+Navarre%2C+FL+32566
39,Heritage Chapel,https://www.google.com/maps/dir/?api=1&destination=3375+Garcon+Point+Rd+Milton%2C+FL+32583
40,Navarre Presbyterian Church,https://www.google.com/maps/dir/?api=1&destination=1870+Lowe+Rd+Navarre%2C+FL+32566
41,Midway Baptist Church,https://www.google.com/maps/dir/?api=1&destination=5471+Gulf+Breeze+Pkwy+Gulf+Breeze%2C+FL+32563
